segment_id	chrom	side	source_cn	generic_source_cn	reciprocal_source_cn
SEQ019	X	R	0.0	0.0	0.0
SEQ020	X	L	0.39530811752237593	1.2002901694200766e-07	0.395307997493359
SEQ020	X	R	1.54795456418717e-08	1.54795456418717e-08	0.0
SEQ021	X	L	2.854939069650929e-05	1.950783763186735e-08	2.8529882858877422e-05
SEQ021	X	R	2.303540363653586e-08	2.303540363653586e-08	0.0
SEQ022	X	L	2.3672463045973564e-08	2.3672463045973564e-08	0.0
SEQ022	X	R	2.252743762024219e-08	2.252743762024219e-08	0.0
SEQ023	X	L	0.34345585603238343	0.34345585603238343	0.0
SEQ023	X	R	0.28231709625076545	0.28231709625076545	0.0
SEQ024	X	L	2.2523720154060765e-08	2.2523720154060765e-08	0.0
SEQ024	X	R	2.2516436783503357e-08	2.2516436783503357e-08	0.0
SEQ025	X	L	0.231618189610538	0.231618189610538	0.0
SEQ025	X	R	0.0002703997820354574	1.724562012486229e-08	0.0002703825364153325
SEQ026	X	L	1.989005630880207	1.989005630880207	0.0
SEQ026	X	R	0.0	0.0	0.0
SEQ027	X	L	0.39530811799040744	1.2004813811500658e-07	0.39530799794226934
SEQ027	X	R	0.10702415447040206	1.1995099838581933e-07	0.10702403451940368
SEQ028	X	L	0.0	0.0	0.0
SEQ028	X	R	2.3586419679143558	2.3586419679143558	0.0
SEQ029	X	L	2.2547206539167424e-08	2.2547206539167424e-08	0.0
SEQ029	X	R	1.819241132050199e-08	1.819241132050199e-08	0.0
SEQ030	X	L	0.86982872347409	1.814811721858033e-08	0.8698287053259728
SEQ030	X	R	1.928636060340233e-08	1.928636060340233e-08	0.0
SEQ031	X	L	0.10203092520455083	1.760086145850193e-08	0.10203090760368937
SEQ031	X	R	2.256728941834567e-08	2.256728941834567e-08	0.0
SEQ032	X	L	1.2381054113739383	1.2381054113739383	0.0
SEQ032	X	R	0.07277965703580554	1.1992436695339015e-07	0.07277953711143859
SEQ033	X	L	0.0	0.0	0.0
SEQ033	X	R	0.22091630710518936	1.8187472569541785e-08	0.2209162889177168
SEQ034	X	L	1.8134587620451843e-08	1.8134587620451843e-08	0.0
SEQ034	X	R	1.8032771479192826e-08	1.8032771479192826e-08	0.0
SEQ035	X	L	0.0484854548567719	1.8238551588327398e-08	0.048485436618220315
SEQ035	X	R	0.38617217637325996	0.38617217637325996	0.0
SEQ036	X	L	0.00021481360748099628	1.7237795968815744e-08	0.00021479636968502747
SEQ036	X	R	0.01221718060237253	0.01221718060237253	0.0
SEQ037	X	L	1.103051000969742	1.103051000969742	0.0
SEQ037	X	R	2.2547382540284587e-08	2.2547382540284587e-08	0.0
SEQ038	X	L	1.6321839383627943	1.6321839383627943	0.0
SEQ038	X	R	2.735207574099548	1.2149882129656517e-07	2.7352074526007266
SEQ039	X	L	0.0	0.0	0.0
SEQ039	X	R	0.0	0.0	0.0
SEQ040	X	L	2.735207574099548	1.2149882128280628e-07	2.7352074526007266
SEQ040	X	R	1.6257419474180295	1.6257419474180295	0.0
SEQ041	X	L	2.254734766839844e-08	2.254734766839844e-08	0.0
SEQ041	X	R	2.2548714216907585e-08	2.2548714216907585e-08	0.0
SEQ042	X	L	2.294667729565328	2.294667729565328	0.0
SEQ042	X	R	2.2720617307159157	2.2720617307159157	0.0
SEQ043	X	L	2.254853022001041e-08	2.254853022001041e-08	0.0
SEQ043	X	R	0.8437470912472915	1.817232656621168e-08	0.843747073074965
SEQ044	X	L	1.8183479397171236e-08	1.8183479397171236e-08	0.0
SEQ044	X	R	1.7509811117739265	1.7509811117739265	0.0
SEQ045	X	L	2.2546754878854272e-08	2.2546754878854272e-08	0.0
SEQ045	X	R	0.7695487003400763	1.2011116811881284e-07	0.7695485802289082
SEQ046	X	L	0.0	0.0	0.0
SEQ046	X	R	0.15696908634773923	1.19943230649711e-07	0.15696896640450858
SEQ047	X	L	0.0	0.0	0.0
SEQ047	X	R	0.0002711708569934699	1.7244665095758404e-08	0.00027115361232837415
SEQ048	X	L	1.317408466549674	1.317408466549674	0.0
SEQ048	X	R	0.0	0.0	0.0
SEQ049	X	L	0.12843517633443333	1.1994439146308712e-07	0.12843505639004185
SEQ049	X	R	0.5065739379004873	0.5065739379004873	0.0
SEQ050	X	L	0.00027431968294985897	1.724093287307936e-08	0.00027430244201698587
SEQ050	X	R	2.254200915321755e-08	2.254200915321755e-08	0.0
SEQ051	X	L	0.9764161282919991	0.9764161282919991	0.0
SEQ051	X	R	0.0	0.0	0.0
SEQ052	X	L	0.07277965723670245	1.1993360894545132e-07	0.0727795373030935
SEQ052	X	R	1.002145352024673	1.002145352024673	0.0
SEQ053	X	L	2.2542281052924516e-08	2.2542281052924516e-08	0.0
SEQ053	X	R	0.00027373341300036054	1.7236486341519197e-08	0.000273716176514019
SEQ054	X	L	0.35985036544717774	0.35985036544717774	0.0
SEQ054	X	R	0.0	0.0	0.0
SEQ055	X	L	0.15269114553642532	1.1994510364253342e-07	0.15269102559132167
SEQ055	X	R	0.508424461919752	0.508424461919752	0.0
SEQ056	X	L	0.0002709766013369274	1.7234867293317096e-08	0.0002709593664696341
SEQ056	X	R	1.315697384000219	1.2001110566175207e-07	1.3156972639891134
SEQ057	X	L	0.0	0.0	0.0
SEQ057	X	R	2.254577368564639e-08	2.254577368564639e-08	0.0
SEQ058	X	L	1.8033545502310289	1.8033545502310289	0.0
SEQ058	X	R	0.0	0.0	0.0
SEQ059	X	L	0.1569690867905555	1.199667300528677e-07	0.15696896682382544
SEQ059	X	R	0.6363898754352413	0.6363898754352413	0.0
SEQ060	X	L	0.00027382734285604074	1.724196547700008e-08	0.00027381010089056374
SEQ060	X	R	1.2447357577796072	1.2447357577796072	0.0
SEQ061	X	L	2.254590247657198e-08	2.254590247657198e-08	0.0
SEQ061	X	R	2.253639129207493e-08	2.253639129207493e-08	0.0
SEQ062	X	L	0.5026054361242224	0.5026054361242224	0.0
SEQ062	X	R	0.06285089388290668	1.820544703840606e-08	0.06285087567745964
SEQ063	X	L	1.8083342378913426e-08	1.8083342378913426e-08	0.0
SEQ063	X	R	0.0	0.0	0.0
SEQ064	X	L	0.15269114563038846	1.1994370444010256e-07	0.15269102568668402
SEQ064	X	R	0.0002793570672033193	1.7228636197245702e-08	0.000279339838567122
SEQ065	X	L	0.14408753701307392	0.14408753701307392	0.0
SEQ065	X	R	0.04300744222564866	0.04300744222564866	0.0
SEQ066	X	L	0.00029185459287943736	1.722156982856256e-08	0.0002918373713096088
SEQ066	X	R	1.807050262480119e-08	1.807050262480119e-08	0.0
SEQ067	X	L	0.08793093122768535	1.8217275564334426e-08	0.08793091301040978
SEQ067	X	R	0.00027439325621977294	1.7236211323169513e-08	0.00027437602000844976
SEQ068	X	L	0.2725193043620445	0.2725193043620445	0.0
SEQ068	X	R	2.108496303618832	2.108496303618832	0.0
SEQ069	X	L	2.2779196466552667e-08	2.2779196466552667e-08	0.0
SEQ069	X	R	0.018177552455929825	0.018177552455929825	0.0
