segment_id	chrom	side	source_cn	source_class
SEQ00042	chr11	R	0.10827789210481509	unresolved
SEQ00043	chr11	L	-0.0	unresolved
SEQ00043	chr11	R	-0.0	unresolved
SEQ00044	chr11	L	0.17357579490813557	unresolved
SEQ00044	chr11	R	0.17607782897485813	unresolved
SEQ00045	chr11	L	-0.0	unresolved
SEQ00045	chr11	R	-0.0	unresolved
SEQ00046	chr11	L	0.10845194833716307	unresolved
SEQ00046	chr11	R	-0.0	unresolved
SEQ00047	chr11	L	0.17530392448371268	unresolved
SEQ00047	chr11	R	0.0	forbidden
SEQ00048	chr11	L	0.0	forbidden
SEQ00048	chr11	R	0.24700120946455506	unresolved
SEQ00049	chr11	L	-0.0	unresolved
SEQ00049	chr11	R	0.4053959811337764	unresolved
SEQ00050	chr11	L	-0.0	unresolved
SEQ00050	chr11	R	-0.0	unresolved
SEQ00051	chr11	L	0.6165428267856559	unresolved
SEQ00051	chr11	R	-0.0	unresolved
SEQ00052	chr11	L	0.6756526592331578	unresolved
SEQ00052	chr11	R	1.2615537670075707	unresolved
SEQ00053	chr11	L	-0.0	unresolved
SEQ00053	chr11	R	0.1553301251424124	unresolved
SEQ00054	chr11	L	-0.0	unresolved
SEQ00054	chr11	R	-0.0	unresolved
SEQ00055	chr11	L	3.485685634367924	unresolved
SEQ00055	chr11	R	1.2830110591090609	unresolved
SEQ00056	chr11	L	-0.0	unresolved
SEQ00056	chr11	R	-0.0	unresolved
SEQ00057	chr11	L	1.902612628388579	unresolved
SEQ00057	chr11	R	1.646212585638152	unresolved
SEQ00058	chr11	L	-0.0	unresolved
SEQ00058	chr11	R	0.0	forbidden
SEQ00059	chr11	L	0.0	forbidden
SEQ00059	chr11	R	0.0	forbidden
SEQ00060	chr11	L	0.0	forbidden
SEQ00060	chr11	R	0.0	forbidden
SEQ00061	chr11	L	0.0	forbidden
SEQ00061	chr11	R	0.0	forbidden
SEQ00062	chr11	L	0.0	forbidden
SEQ00062	chr11	R	-0.0	unresolved
SEQ00063	chr11	L	4.003997491270905	unresolved
SEQ00063	chr11	R	0.0	forbidden
SEQ00064	chr11	L	0.0	forbidden
SEQ00064	chr11	R	-0.0	unresolved
SEQ00065	chr11	L	12.53166927743503	unresolved
SEQ00065	chr11	R	0.0	forbidden
SEQ00066	chr11	L	0.0	forbidden
SEQ00066	chr11	R	17.99197338554992	unresolved
SEQ00067	chr11	L	-0.0	unresolved
SEQ00067	chr11	R	0.38788007744056596	unresolved
SEQ00068	chr11	L	-0.0	unresolved
SEQ00068	chr11	R	0.0	forbidden
SEQ00069	chr11	L	0.0	forbidden
SEQ00069	chr11	R	0.4678323851409749	unresolved
SEQ00070	chr11	L	-0.0	unresolved
SEQ00070	chr11	R	-0.0	unresolved
SEQ00071	chr11	L	0.44116081852023364	unresolved
SEQ00071	chr11	R	0.25753006840106485	unresolved
SEQ00072	chr11	L	-0.0	unresolved
SEQ00072	chr11	R	-0.0	unresolved
SEQ00073	chr11	L	0.1469742679096686	unresolved
SEQ00073	chr11	R	-0.0	unresolved
SEQ00074	chr11	L	0.1486520755266143	unresolved
SEQ00074	chr11	R	0.20351299642135134	unresolved
SEQ00075	chr11	L	-0.0	unresolved
SEQ00075	chr11	R	-0.0	unresolved
SEQ00076	chr11	L	0.1767821968426957	unresolved
SEQ00076	chr11	R	0.15920242222254988	unresolved
SEQ00077	chr11	L	-0.0	unresolved
SEQ00077	chr11	R	-0.0	unresolved
SEQ00078	chr11	L	1.5382790216707636	unresolved
SEQ00078	chr11	R	0.0	forbidden
SEQ00079	chr11	L	0.0	forbidden
SEQ00079	chr11	R	-0.0	unresolved
SEQ00080	chr11	L	0.6015120895192303	unresolved
SEQ00080	chr11	R	0.0	forbidden
SEQ00081	chr11	L	0.0	forbidden
SEQ00081	chr11	R	0.0	forbidden
SEQ00082	chr11	L	0.0	forbidden
SEQ00082	chr11	R	-0.0	unresolved
SEQ00083	chr11	L	0.4020551599193021	unresolved
SEQ00083	chr11	R	0.9807475400150127	unresolved
SEQ00084	chr11	L	-0.0	unresolved
SEQ00084	chr11	R	0.8080507127084493	unresolved
SEQ00085	chr11	L	-0.0	unresolved
SEQ00085	chr11	R	0.5194678526030083	unresolved
SEQ00086	chr11	L	-0.0	unresolved
SEQ00086	chr11	R	0.26523056283569524	unresolved
SEQ00087	chr11	L	-0.0	unresolved
SEQ00087	chr11	R	-0.0	unresolved
SEQ00088	chr11	L	0.4984264491030954	unresolved
SEQ00088	chr11	R	0.40493880527687875	unresolved
SEQ00089	chr11	L	-0.0	unresolved
SEQ00089	chr11	R	0.0	forbidden
SEQ00090	chr11	L	0.0	forbidden
SEQ00090	chr11	R	0.4130136444429837	unresolved
SEQ00091	chr11	L	-0.0	unresolved
SEQ00091	chr11	R	-0.0	unresolved
SEQ00092	chr11	L	0.4177296837258082	unresolved
SEQ00092	chr11	R	0.0	forbidden
SEQ00093	chr11	L	0.0	forbidden
SEQ00093	chr11	R	-0.0	unresolved
SEQ00094	chr11	L	1.50330912018062	unresolved
SEQ00094	chr11	R	0.8630300131923061	unresolved
SEQ00095	chr11	L	-0.0	unresolved
SEQ00095	chr11	R	0.6436255439750251	unresolved
SEQ00096	chr11	L	-0.0	unresolved
SEQ00096	chr11	R	0.41907608480150027	unresolved
SEQ00097	chr11	L	-0.0	unresolved
SEQ00097	chr11	R	0.0	forbidden
SEQ00098	chr11	L	0.0	forbidden
SEQ00098	chr11	R	-0.0	unresolved
SEQ00099	chr11	L	0.9550625675831868	unresolved
SEQ00099	chr11	R	-0.0	unresolved
SEQ00100	chr11	L	0.5468104356725418	unresolved
SEQ00100	chr11	R	0.4546962480558241	unresolved
SEQ00101	chr11	L	-0.0	unresolved
SEQ00101	chr11	R	2.4600352701538584	telomere
SEQ00102	chr12	L	3.186078912854374	telomere
SEQ00102	chr12	R	0.24452801401555346	unresolved
SEQ00103	chr12	L	-0.0	unresolved
SEQ00103	chr12	R	0.8296914819298244	unresolved
SEQ00104	chr12	L	-0.0	unresolved
SEQ00104	chr12	R	-0.0	unresolved
SEQ00105	chr12	L	0.30353702540279626	unresolved
SEQ00105	chr12	R	0.4624283210243296	unresolved
SEQ00106	chr12	L	-0.0	unresolved
SEQ00106	chr12	R	-0.0	unresolved
SEQ00107	chr12	L	0.6528565179193422	unresolved
SEQ00107	chr12	R	0.27451279043265275	unresolved
SEQ00108	chr12	L	-0.0	unresolved
SEQ00108	chr12	R	-0.0	unresolved
SEQ00109	chr12	L	0.15545111915598175	unresolved
SEQ00109	chr12	R	0.0	forbidden
SEQ00110	chr12	L	0.0	forbidden
SEQ00110	chr12	R	-0.0	unresolved
SEQ00111	chr12	L	0.5099086526596195	unresolved
SEQ00111	chr12	R	0.15135145276321627	unresolved
SEQ00112	chr12	L	-0.0	unresolved
SEQ00112	chr12	R	0.16844103405566546	unresolved
SEQ00113	chr12	L	-0.0	unresolved
SEQ00113	chr12	R	-0.0	unresolved
SEQ00114	chr12	L	0.22807825161419082	unresolved
SEQ00114	chr12	R	0.21561581872078284	unresolved
SEQ00115	chr12	L	-0.0	unresolved
SEQ00115	chr12	R	0.0	forbidden
SEQ00116	chr12	L	0.0	forbidden
SEQ00116	chr12	R	-0.0	unresolved
SEQ00117	chr12	L	0.8257517752426153	unresolved
SEQ00117	chr12	R	0.595419933059389	unresolved
SEQ00118	chr12	L	-0.0	unresolved
SEQ00118	chr12	R	0.8272070911334408	unresolved
SEQ00119	chr12	L	-0.0	unresolved
SEQ00119	chr12	R	0.0	forbidden
SEQ00120	chr12	L	0.0	forbidden
SEQ00120	chr12	R	0.0	forbidden
SEQ00121	chr12	L	0.0	forbidden
SEQ00121	chr12	R	0.0	forbidden
SEQ00122	chr12	L	0.0	forbidden
SEQ00122	chr12	R	0.7281047706150146	unresolved
SEQ00123	chr12	L	-0.0	unresolved
SEQ00123	chr12	R	-0.0	unresolved
SEQ00124	chr12	L	0.7306712078117084	unresolved
SEQ00124	chr12	R	0.2316810584750586	unresolved
SEQ00125	chr12	L	-0.0	unresolved
SEQ00125	chr12	R	-0.0	unresolved
SEQ00126	chr12	L	0.20104539056645487	unresolved
SEQ00126	chr12	R	-0.0	unresolved
SEQ00127	chr12	L	0.21900827970102288	unresolved
SEQ00127	chr12	R	0.20199374769261436	unresolved
SEQ00128	chr12	L	-0.0	unresolved
SEQ00128	chr12	R	0.2749232075227237	unresolved
SEQ00129	chr12	L	-0.0	unresolved
SEQ00129	chr12	R	-0.0	unresolved
SEQ00130	chr12	L	0.2602561637042369	unresolved
SEQ00130	chr12	R	0.23403650381222252	unresolved
SEQ00131	chr12	L	-0.0	unresolved
SEQ00131	chr12	R	0.1720005646520737	unresolved
SEQ00132	chr12	L	-0.0	unresolved
SEQ00132	chr12	R	-0.0	unresolved
SEQ00133	chr12	L	0.20231744938374918	unresolved
SEQ00133	chr12	R	-0.0	unresolved
SEQ00134	chr12	L	0.38159469153045733	unresolved
SEQ00134	chr12	R	0.23700370195880982	unresolved
SEQ00135	chr12	L	-0.0	unresolved
SEQ00135	chr12	R	-0.0	unresolved
SEQ00136	chr12	L	0.5164087043806278	unresolved
SEQ00136	chr12	R	-0.0	unresolved
SEQ00137	chr12	L	0.3826467829338398	unresolved
SEQ00137	chr12	R	0.41370060662496666	unresolved
SEQ00138	chr12	L	-0.0	unresolved
SEQ00138	chr12	R	0.44179722455551174	unresolved
SEQ00139	chr12	L	-0.0	unresolved
SEQ00139	chr12	R	-0.0	unresolved
SEQ00140	chr12	L	0.6540334131848455	unresolved
SEQ00140	chr12	R	0.22879905792617405	unresolved
SEQ00141	chr12	L	-0.0	unresolved
SEQ00141	chr12	R	0.2849348116700794	unresolved
SEQ00142	chr12	L	-0.0	unresolved
SEQ00142	chr12	R	0.2547072234110517	unresolved
SEQ00143	chr12	L	-0.0	unresolved
SEQ00143	chr12	R	-0.0	unresolved
SEQ00144	chr12	L	0.25761198148236675	unresolved
SEQ00144	chr12	R	-0.0	unresolved
SEQ00145	chr12	L	0.1512237084126551	unresolved
SEQ00145	chr12	R	-0.0	unresolved
SEQ00146	chr12	L	0.3383562101527642	unresolved
SEQ00146	chr12	R	0.40917786177458026	unresolved
SEQ00147	chr12	L	-0.0	unresolved
SEQ00147	chr12	R	2.274779960267913	telomere
SEQ00148	chr13	L	0.0020000059398117102	telomere
SEQ00148	chr13	R	0.0	forbidden
SEQ00149	chr13	L	0.0	forbidden
SEQ00149	chr13	R	0.0	forbidden
SEQ00150	chr13	L	0.0	forbidden
SEQ00150	chr13	R	0.0	forbidden
SEQ00151	chr13	L	0.0	forbidden
SEQ00151	chr13	R	-0.0	unresolved
SEQ00152	chr13	L	2.1818548884721674	unresolved
SEQ00152	chr13	R	0.600995616731653	unresolved
SEQ00153	chr13	L	-0.0	unresolved
SEQ00153	chr13	R	-0.0	unresolved
SEQ00154	chr13	L	0.24541053959251902	unresolved
SEQ00154	chr13	R	-0.0	unresolved
SEQ00155	chr13	L	0.21702001795932913	unresolved
SEQ00155	chr13	R	0.1598313303983716	unresolved
SEQ00156	chr13	L	-0.0	unresolved
SEQ00156	chr13	R	0.0	forbidden
SEQ00157	chr13	L	0.0	forbidden
SEQ00157	chr13	R	-0.0	unresolved
SEQ00158	chr13	L	0.46353870548653275	unresolved
SEQ00158	chr13	R	0.0	forbidden
SEQ00159	chr13	L	0.0	forbidden
SEQ00159	chr13	R	-0.0	unresolved
SEQ00160	chr13	L	0.2906918523927886	unresolved
SEQ00160	chr13	R	0.7764471470862415	unresolved
SEQ00161	chr13	L	-0.0	unresolved
SEQ00161	chr13	R	0.313407592531751	unresolved
SEQ00162	chr13	L	-0.0	unresolved
SEQ00162	chr13	R	-0.0	unresolved
SEQ00163	chr13	L	0.7433583976961626	unresolved
SEQ00163	chr13	R	0.8583514015799834	unresolved
SEQ00164	chr13	L	-0.0	unresolved
SEQ00164	chr13	R	-0.0	unresolved
SEQ00165	chr13	L	0.1284524775584761	unresolved
SEQ00165	chr13	R	0.0	forbidden
SEQ00166	chr13	L	0.0	forbidden
SEQ00166	chr13	R	0.35112886249299247	unresolved
SEQ00167	chr13	L	-0.0	unresolved
SEQ00167	chr13	R	-0.0	unresolved
SEQ00168	chr13	L	0.10560692723590126	unresolved
SEQ00168	chr13	R	-0.0	unresolved
SEQ00169	chr13	L	1.174421979081001	unresolved
SEQ00169	chr13	R	2.6034379100599416	telomere
SEQ00170	chr14	L	0.016449984103123285	telomere
SEQ00170	chr14	R	-0.0	unresolved
SEQ00171	chr14	L	0.2637133377675062	unresolved
SEQ00171	chr14	R	-0.0	unresolved
SEQ00172	chr14	L	2.1762851900869387	unresolved
SEQ00172	chr14	R	-0.0	unresolved
SEQ00173	chr14	L	0.23237860968840351	unresolved
SEQ00173	chr14	R	-0.0	unresolved
SEQ00174	chr14	L	0.6194497968663617	unresolved
SEQ00174	chr14	R	0.5113588361623056	unresolved
SEQ00175	chr14	L	-0.0	unresolved
SEQ00175	chr14	R	0.11847061614598209	unresolved
SEQ00176	chr14	L	-0.0	unresolved
SEQ00176	chr14	R	0.0	forbidden
SEQ00177	chr14	L	0.0	forbidden
SEQ00177	chr14	R	-0.0	unresolved
SEQ00178	chr14	L	0.2798292336873338	unresolved
SEQ00178	chr14	R	0.15195577875052235	unresolved
SEQ00179	chr14	L	-0.0	unresolved
SEQ00179	chr14	R	-0.0	unresolved
SEQ00180	chr14	L	2.3005160369074034	unresolved
SEQ00180	chr14	R	0.0	forbidden
SEQ00181	chr14	L	0.0	forbidden
SEQ00181	chr14	R	2.277894170517962	unresolved
SEQ00182	chr14	L	-0.0	unresolved
SEQ00182	chr14	R	0.0	forbidden
SEQ00183	chr14	L	0.0	forbidden
SEQ00183	chr14	R	-0.0	unresolved
SEQ00184	chr14	L	2.0941331737266204	unresolved
SEQ00184	chr14	R	0.49140736354069414	unresolved
SEQ00185	chr14	L	-0.0	unresolved
SEQ00185	chr14	R	0.0	forbidden
SEQ00186	chr14	L	0.0	forbidden
SEQ00186	chr14	R	0.47674726049597593	unresolved
SEQ00187	chr14	L	-0.0	unresolved
SEQ00187	chr14	R	0.4120207117219423	unresolved
SEQ00188	chr14	L	-0.0	unresolved
SEQ00188	chr14	R	-0.0	unresolved
SEQ00189	chr14	L	0.6324866018541915	unresolved
SEQ00189	chr14	R	-0.0	unresolved
SEQ00190	chr14	L	0.5022500704227912	unresolved
SEQ00190	chr14	R	0.35005876645663303	unresolved
SEQ00191	chr14	L	-0.0	unresolved
SEQ00191	chr14	R	0.32025219587437714	unresolved
SEQ00192	chr14	L	-0.0	unresolved
SEQ00192	chr14	R	-0.0	unresolved
SEQ00193	chr14	L	0.565227006211865	unresolved
SEQ00193	chr14	R	-0.0	unresolved
SEQ00194	chr14	L	2.0006198588859077	unresolved
SEQ00194	chr14	R	4.651573541729667	unresolved
SEQ00195	chr14	L	-0.0	unresolved
SEQ00195	chr14	R	1.9215996588123847	telomere
SEQ00196	chr15	L	0.0020000059398117102	telomere
SEQ00196	chr15	R	-0.0	unresolved
SEQ00197	chr15	L	0.5965235777205898	unresolved
SEQ00197	chr15	R	-0.0	unresolved
SEQ00198	chr15	L	1.8520627950181199	unresolved
SEQ00198	chr15	R	0.0	forbidden
SEQ00199	chr15	L	0.0	forbidden
SEQ00199	chr15	R	0.0	forbidden
SEQ00200	chr15	L	0.0	forbidden
SEQ00200	chr15	R	1.5065855703830062	unresolved
SEQ00201	chr15	L	-0.0	unresolved
SEQ00201	chr15	R	0.0	forbidden
SEQ00202	chr15	L	0.0	forbidden
SEQ00202	chr15	R	-0.0	unresolved
SEQ00203	chr15	L	1.344243353874387	unresolved
SEQ00203	chr15	R	0.6233274591864075	unresolved
SEQ00204	chr15	L	-0.0	unresolved
SEQ00204	chr15	R	-0.0	unresolved
SEQ00205	chr15	L	0.3919539894311701	unresolved
SEQ00205	chr15	R	0.0	forbidden
SEQ00206	chr15	L	0.0	forbidden
SEQ00206	chr15	R	-0.0	unresolved
SEQ00207	chr15	L	0.598206857308333	unresolved
SEQ00207	chr15	R	-0.0	unresolved
SEQ00208	chr15	L	4.138539984808068	unresolved
SEQ00208	chr15	R	0.0	forbidden
SEQ00209	chr15	L	0.0	forbidden
SEQ00209	chr15	R	0.0	forbidden
SEQ00210	chr15	L	0.0	forbidden
SEQ00210	chr15	R	5.331074576878581	unresolved
SEQ00211	chr15	L	-0.0	unresolved
SEQ00211	chr15	R	1.4625429576524833	telomere
SEQ00212	chr16	L	1.944600773031456	telomere
SEQ00212	chr16	R	0.545475638108911	unresolved
SEQ00213	chr16	L	-0.0	unresolved
SEQ00213	chr16	R	-0.0	unresolved
SEQ00214	chr16	L	0.13657016848649084	unresolved
SEQ00214	chr16	R	-0.0	unresolved
SEQ00215	chr16	L	0.4736265588560611	unresolved
SEQ00215	chr16	R	0.3371350853249613	unresolved
SEQ00216	chr16	L	-0.0	unresolved
SEQ00216	chr16	R	-0.0	unresolved
SEQ00217	chr16	L	0.30650280604757985	unresolved
SEQ00217	chr16	R	-0.0	unresolved
SEQ00218	chr16	L	0.28358022252348514	unresolved
SEQ00218	chr16	R	0.33731296430757984	unresolved
SEQ00219	chr16	L	-0.0	unresolved
SEQ00219	chr16	R	0.17839708918441355	unresolved
SEQ00220	chr16	L	-0.0	unresolved
SEQ00220	chr16	R	0.2541745086927292	unresolved
SEQ00221	chr16	L	-0.0	unresolved
SEQ00221	chr16	R	-0.0	unresolved
SEQ00222	chr16	L	0.14829944038542053	unresolved
SEQ00222	chr16	R	-0.0	unresolved
SEQ00223	chr16	L	0.41321710777534526	unresolved
SEQ00223	chr16	R	-0.0	unresolved
SEQ00224	chr16	L	0.8022843404881419	unresolved
SEQ00224	chr16	R	0.0	forbidden
SEQ00225	chr16	L	0.0	forbidden
SEQ00225	chr16	R	1.0768574911965443	unresolved
SEQ00226	chr16	L	-0.0	unresolved
SEQ00226	chr16	R	0.0	forbidden
SEQ00227	chr16	L	0.0	forbidden
SEQ00227	chr16	R	-0.0	unresolved
SEQ00228	chr16	L	0.7075808453503889	unresolved
SEQ00228	chr16	R	0.0	forbidden
SEQ00229	chr16	L	0.0	forbidden
SEQ00229	chr16	R	0.0	forbidden
SEQ00230	chr16	L	0.0	forbidden
SEQ00230	chr16	R	0.5121759418267411	unresolved
SEQ00231	chr16	L	-0.0	unresolved
SEQ00231	chr16	R	0.0	forbidden
SEQ00232	chr16	L	0.0	forbidden
SEQ00232	chr16	R	0.0	forbidden
SEQ00233	chr16	L	0.0	forbidden
SEQ00233	chr16	R	0.0	forbidden
SEQ00234	chr16	L	0.0	forbidden
SEQ00234	chr16	R	0.0	forbidden
SEQ00235	chr16	L	0.0	forbidden
SEQ00235	chr16	R	1.9727335383626776	unresolved
SEQ00236	chr16	L	-0.0	unresolved
SEQ00236	chr16	R	-0.0	unresolved
SEQ00237	chr16	L	2.541676136066934	unresolved
SEQ00237	chr16	R	1.2865416516069772	unresolved
SEQ00238	chr16	L	-0.0	unresolved
SEQ00238	chr16	R	0.0	forbidden
SEQ00239	chr16	L	0.0	forbidden
SEQ00239	chr16	R	1.2571344903997683	telomere
SEQ00240	chr17	L	2.1494908961303216	telomere
SEQ00240	chr17	R	0.8881502082127277	unresolved
SEQ00241	chr17	L	-0.0	unresolved
SEQ00241	chr17	R	-0.0	unresolved
SEQ00242	chr17	L	0.8564843391555452	unresolved
SEQ00242	chr17	R	0.0	forbidden
SEQ00243	chr17	L	0.0	forbidden
SEQ00243	chr17	R	0.0	forbidden
SEQ00244	chr17	L	0.0	forbidden
SEQ00244	chr17	R	0.0	forbidden
SEQ00245	chr17	L	0.0	forbidden
SEQ00245	chr17	R	-0.0	unresolved
SEQ00246	chr17	L	1.0285639289721042	unresolved
SEQ00246	chr17	R	0.415233186563817	unresolved
SEQ00247	chr17	L	-0.0	unresolved
SEQ00247	chr17	R	-0.0	unresolved
SEQ00248	chr17	L	0.35829405231501177	unresolved
SEQ00248	chr17	R	-0.0	unresolved
SEQ00249	chr17	L	0.7293746530945526	unresolved
SEQ00249	chr17	R	0.6112681621753899	unresolved
SEQ00250	chr17	L	-0.0	unresolved
SEQ00250	chr17	R	3.2194449918951995	telomere
SEQ00251	chr18	L	1.9830093775307454	telomere
SEQ00251	chr18	R	0.0	forbidden
SEQ00252	chr18	L	0.0	forbidden
SEQ00252	chr18	R	0.0	forbidden
SEQ00253	chr18	L	0.0	forbidden
SEQ00253	chr18	R	1.4000448522217166	unresolved
SEQ00254	chr18	L	-0.0	unresolved
SEQ00254	chr18	R	0.0	forbidden
SEQ00255	chr18	L	0.0	forbidden
SEQ00255	chr18	R	-0.0	unresolved
SEQ00256	chr18	L	0.9943310090287921	unresolved
SEQ00256	chr18	R	0.15970684310423056	unresolved
SEQ00257	chr18	L	-0.0	unresolved
SEQ00257	chr18	R	-0.0	unresolved
SEQ00258	chr18	L	0.7480056156813091	unresolved
SEQ00258	chr18	R	0.0	forbidden
SEQ00259	chr18	L	0.0	forbidden
SEQ00259	chr18	R	0.0	forbidden
SEQ00260	chr18	L	0.0	forbidden
SEQ00260	chr18	R	0.7018181004495867	unresolved
SEQ00261	chr18	L	-0.0	unresolved
SEQ00261	chr18	R	0.0	forbidden
SEQ00262	chr18	L	0.0	forbidden
SEQ00262	chr18	R	-0.0	unresolved
SEQ00263	chr18	L	1.0155618576280574	unresolved
SEQ00263	chr18	R	0.0	forbidden
SEQ00264	chr18	L	0.0	forbidden
SEQ00264	chr18	R	0.0	forbidden
SEQ00265	chr18	L	0.0	forbidden
SEQ00265	chr18	R	1.0245792370093647	unresolved
SEQ00266	chr18	L	-0.0	unresolved
SEQ00266	chr18	R	0.0	forbidden
SEQ00267	chr18	L	0.0	forbidden
SEQ00267	chr18	R	0.0	forbidden
SEQ00268	chr18	L	0.0	forbidden
SEQ00268	chr18	R	-0.0	unresolved
SEQ00269	chr18	L	0.8347053634148516	unresolved
SEQ00269	chr18	R	0.19166046927653824	unresolved
SEQ00270	chr18	L	-0.0	unresolved
SEQ00270	chr18	R	0.0	forbidden
SEQ00271	chr18	L	0.0	forbidden
SEQ00271	chr18	R	0.0	forbidden
SEQ00272	chr18	L	0.0	forbidden
SEQ00272	chr18	R	0.660168160772296	unresolved
SEQ00273	chr18	L	-0.0	unresolved
SEQ00273	chr18	R	0.0	forbidden
SEQ00274	chr18	L	0.0	forbidden
SEQ00274	chr18	R	-0.0	unresolved
SEQ00275	chr18	L	0.6658224221587075	unresolved
SEQ00275	chr18	R	0.0	forbidden
SEQ00276	chr18	L	0.0	forbidden
SEQ00276	chr18	R	0.630995373020881	unresolved
SEQ00277	chr18	L	-0.0	unresolved
SEQ00277	chr18	R	0.0	unresolved
SEQ00278	chr18	L	0.4755667859742816	unresolved
SEQ00278	chr18	R	0.0	forbidden
SEQ00279	chr18	L	0.0	forbidden
SEQ00279	chr18	R	0.37909213994419855	unresolved
SEQ00280	chr18	L	-0.0	unresolved
SEQ00280	chr18	R	0.0	forbidden
SEQ00281	chr18	L	0.0	forbidden
SEQ00281	chr18	R	0.0	forbidden
SEQ00282	chr18	L	0.0	forbidden
SEQ00282	chr18	R	0.7239197499876787	unresolved
SEQ00283	chr18	L	-0.0	unresolved
SEQ00283	chr18	R	0.0	forbidden
SEQ00284	chr18	L	0.0	forbidden
SEQ00284	chr18	R	-0.0	unresolved
SEQ00285	chr18	L	0.70370305355898	unresolved
SEQ00285	chr18	R	-0.0	unresolved
SEQ00286	chr18	L	1.306794842382669	unresolved
SEQ00286	chr18	R	0.0	forbidden
SEQ00287	chr18	L	0.0	forbidden
SEQ00287	chr18	R	1.3100401051200408	unresolved
SEQ00288	chr18	L	-0.0	unresolved
SEQ00288	chr18	R	0.0	forbidden
SEQ00289	chr18	L	0.0	forbidden
SEQ00289	chr18	R	0.6931476700708061	unresolved
