segment_id	chrom	start	end	sequence_cn	balanced_sequence_cn
SEQ00038	chr10	128350000	133797422	1.689407077391905	1.689407077391905
SEQ00039	chr11	0	3350000	1.4324988690670706	1.4324988690670706
SEQ00040	chr11	3350000	19350000	1.7132598720029035	1.7132598720029035
SEQ00041	chr11	19350000	24900000	1.5944324749569743	1.5944324749569743
SEQ00042	chr11	24900000	29500000	1.682371131971585	1.682371131971585
SEQ00043	chr11	29500000	31000000	1.57409323986677	1.57409323986677
SEQ00044	chr11	31000000	36700000	1.7476690347749055	1.7476690347749055
SEQ00045	chr11	36700000	39100000	1.5715912058000474	1.5715912058000474
SEQ00046	chr11	39100000	43300000	1.9089002283444856	1.9089002283444856
SEQ00047	chr11	43300000	48900000	2.0842041528281983	2.0842041528281983
SEQ00048	chr11	48900000	49750000	2.0842041528281983	2.0842041528281983
SEQ00049	chr11	49750000	50300000	1.8372029433636432	1.8372029433636432
SEQ00050	chr11	50300000	55150000	1.4318069622298668	1.4318069622298668
SEQ00051	chr11	55150000	61650000	2.0483497890155227	2.0483497890155227
SEQ00052	chr11	61650000	62550000	2.7240024482486804	2.7240024482486804
SEQ00053	chr11	62550000	63750000	1.4624486812411097	1.4624486812411097
SEQ00054	chr11	63750000	65250000	1.3071185560986973	1.3071185560986973
SEQ00055	chr11	65250000	66300000	4.792804190466621	4.792804190466621
SEQ00056	chr11	66300000	67450000	3.5097931313575605	3.5097931313575605
SEQ00057	chr11	67450000	67850000	5.4124057597461395	5.4124057597461395
SEQ00058	chr11	67850000	67950000	3.7661931741079875	3.7661931741079875
SEQ00059	chr11	67950000	68050000	3.7661931741079875	3.7661931741079875
SEQ00060	chr11	68050000	68500000	3.7661931741079875	3.7661931741079875
SEQ00061	chr11	68500000	68950000	3.7661931741079875	3.7661931741079875
SEQ00062	chr11	68950000	69000000	3.7661931741079875	3.7661931741079875
SEQ00063	chr11	69000000	69150000	7.770190665378893	7.770190665378893
SEQ00064	chr11	69150000	69550000	7.770190665378893	7.770190665378893
SEQ00065	chr11	69550000	71350000	20.301859942813923	20.301859942813923
SEQ00066	chr11	71350000	71400000	20.301859942813923	20.301859942813923
SEQ00067	chr11	71400000	72200000	2.3098865572640053	2.3098865572640053
SEQ00068	chr11	72200000	72250000	1.9220064798234393	1.9220064798234393
SEQ00069	chr11	72250000	74900000	1.9220064798234393	1.9220064798234393
SEQ00070	chr11	74900000	77800000	1.4541740946824644	1.4541740946824644
SEQ00071	chr11	77800000	78600000	1.9165646974519814	1.9165646974519814
SEQ00072	chr11	78600000	80550000	1.6590346290509166	1.6590346290509166
SEQ00073	chr11	80550000	85550000	1.8060088969605852	1.8060088969605852
SEQ00074	chr11	85550000	90200000	1.9546609724871995	1.9546609724871995
SEQ00075	chr11	90200000	93750000	1.7511479760658482	1.7511479760658482
SEQ00076	chr11	93750000	96600000	1.9279301729085438	1.9279301729085438
SEQ00077	chr11	96600000	100650000	1.768727750685994	1.768727750685994
SEQ00078	chr11	100650000	100800000	3.3070067723567576	3.3070067723567576
SEQ00079	chr11	100800000	100850000	3.3070067723567576	3.3070067723567576
SEQ00080	chr11	100850000	101350000	3.908518861875988	3.908518861875988
SEQ00081	chr11	101350000	101400000	3.908518861875988	3.908518861875988
SEQ00082	chr11	101400000	101800000	3.908518861875988	3.908518861875988
SEQ00083	chr11	101800000	102700000	4.31057402179529	4.31057402179529
SEQ00084	chr11	102700000	103500000	3.329826481780277	3.329826481780277
SEQ00085	chr11	103500000	113850000	2.521775769071828	2.521775769071828
SEQ00086	chr11	113850000	114750000	2.0023079164688196	2.0023079164688196
SEQ00087	chr11	114750000	116650000	1.7370773536331243	1.7370773536331243
SEQ00088	chr11	116650000	119500000	2.2355038027362197	2.2355038027362197
SEQ00089	chr11	119500000	119550000	1.830564997459341	1.830564997459341
SEQ00090	chr11	119550000	126400000	1.830564997459341	1.830564997459341
SEQ00091	chr11	126400000	127300000	1.4175513530163573	1.4175513530163573
SEQ00092	chr11	127300000	128100000	1.8352810367421655	1.8352810367421655
SEQ00093	chr11	128100000	128150000	1.8352810367421655	1.8352810367421655
SEQ00094	chr11	128150000	130300000	3.3385901569227854	3.3385901569227854
SEQ00095	chr11	130300000	131050000	2.4755601437304793	2.4755601437304793
SEQ00096	chr11	131050000	132600000	1.8319345997554541	1.8319345997554541
SEQ00097	chr11	132600000	132750000	1.4128585149539539	1.4128585149539539
SEQ00098	chr11	132750000	132800000	1.4128585149539539	1.4128585149539539
SEQ00099	chr11	132800000	134050000	2.3679210825371406	2.3679210825371406
SEQ00100	chr11	134050000	134350000	2.9147315182096825	2.9147315182096825
SEQ00101	chr11	134350000	135086622	2.4600352701538584	2.4600352701538584
SEQ00102	chr12	0	1800000	3.186078912854374	3.186078912854374
SEQ00103	chr12	1800000	6450000	2.9415508988388206	2.9415508988388206
SEQ00104	chr12	6450000	7000000	2.111859416908996	2.111859416908996
SEQ00105	chr12	7000000	9450000	2.4153964423117924	2.4153964423117924
SEQ00106	chr12	9450000	9600000	1.9529681212874628	1.9529681212874628
SEQ00107	chr12	9600000	13150000	2.605824639206805	2.605824639206805
SEQ00108	chr12	13150000	14400000	2.331311848774152	2.331311848774152
SEQ00109	chr12	14400000	17400000	2.486762967930134	2.486762967930134
SEQ00110	chr12	17400000	17450000	2.486762967930134	2.486762967930134
SEQ00111	chr12	17450000	22700000	2.9966716205897534	2.9966716205897534
SEQ00112	chr12	22700000	24100000	2.845320167826537	2.845320167826537
SEQ00113	chr12	24100000	26350000	2.6768791337708717	2.6768791337708717
SEQ00114	chr12	26350000	28550000	2.9049573853850625	2.9049573853850625
SEQ00115	chr12	28550000	31000000	2.6893415666642797	2.6893415666642797
SEQ00116	chr12	31000000	31100000	2.6893415666642797	2.6893415666642797
SEQ00117	chr12	31100000	34200000	3.515093341906895	3.515093341906895
SEQ00118	chr12	34200000	37300000	2.919673408847506	2.919673408847506
SEQ00119	chr12	37300000	38500000	2.092466317714065	2.092466317714065
SEQ00120	chr12	38500000	38550000	2.092466317714065	2.092466317714065
SEQ00121	chr12	38550000	98750000	2.092466317714065	2.092466317714065
SEQ00122	chr12	98750000	98800000	2.092466317714065	2.092466317714065
SEQ00123	chr12	98800000	99550000	1.3643615470990507	1.3643615470990507
SEQ00124	chr12	99550000	102350000	2.095032754910759	2.095032754910759
SEQ00125	chr12	102350000	103200000	1.8633516964357004	1.8633516964357004
SEQ00126	chr12	103200000	103800000	2.0643970870021553	2.0643970870021553
SEQ00127	chr12	103800000	105300000	2.283405366703178	2.283405366703178
SEQ00128	chr12	105300000	107850000	2.081411619010564	2.081411619010564
SEQ00129	chr12	107850000	108650000	1.8064884114878401	1.8064884114878401
SEQ00130	chr12	108650000	113000000	2.066744575192077	2.066744575192077
SEQ00131	chr12	113000000	113950000	1.8327080713798545	1.8327080713798545
SEQ00132	chr12	113950000	114500000	1.6607075067277808	1.6607075067277808
SEQ00133	chr12	114500000	115950000	1.86302495611153	1.86302495611153
SEQ00134	chr12	115950000	116350000	2.2446196476419873	2.2446196476419873
SEQ00135	chr12	116350000	117000000	2.0076159456831775	2.0076159456831775
SEQ00136	chr12	117000000	117900000	2.5240246500638053	2.5240246500638053
SEQ00137	chr12	117900000	118400000	2.906671432997645	2.906671432997645
SEQ00138	chr12	118400000	118700000	2.4929708263726784	2.4929708263726784
SEQ00139	chr12	118700000	119550000	2.0511736018171667	2.0511736018171667
SEQ00140	chr12	119550000	124200000	2.705207015002012	2.705207015002012
SEQ00141	chr12	124200000	127700000	2.476407957075838	2.476407957075838
SEQ00142	chr12	127700000	127950000	2.1914731454057588	2.1914731454057588
SEQ00143	chr12	127950000	129950000	1.936765921994707	1.936765921994707
SEQ00144	chr12	129950000	130700000	2.194377903477074	2.194377903477074
SEQ00145	chr12	130700000	131700000	2.345601611889729	2.345601611889729
SEQ00146	chr12	131700000	132100000	2.683957822042493	2.683957822042493
SEQ00147	chr12	132100000	133275309	2.274779960267913	2.274779960267913
SEQ00148	chr13	0	16200000	0.0020000059398117102	0.0020000059398117102
SEQ00149	chr13	16200000	17600000	0.0020000059398117102	0.0020000059398117102
SEQ00150	chr13	17600000	18000000	0.0020000059398117102	0.0020000059398117102
SEQ00151	chr13	18000000	18150000	0.0020000059398117102	0.0020000059398117102
SEQ00152	chr13	18150000	18600000	2.183854894411979	2.183854894411979
SEQ00153	chr13	18600000	19200000	1.5828592776803259	1.5828592776803259
SEQ00154	chr13	19200000	40800000	1.8282698172728449	1.8282698172728449
SEQ00155	chr13	40800000	42250000	2.045289835232174	2.045289835232174
SEQ00156	chr13	42250000	48500000	1.8854585048338024	1.8854585048338024
SEQ00157	chr13	48500000	48700000	1.8854585048338024	1.8854585048338024
SEQ00158	chr13	48700000	49550000	2.348997210320335	2.348997210320335
SEQ00159	chr13	49550000	49600000	2.348997210320335	2.348997210320335
SEQ00160	chr13	49600000	50900000	2.6396890627131238	2.6396890627131238
SEQ00161	chr13	50900000	52700000	1.8632419156268822	1.8632419156268822
SEQ00162	chr13	52700000	60050000	1.5498343230951312	1.5498343230951312
SEQ00163	chr13	60050000	60550000	2.404436790257539	2.404436790257539
SEQ00164	chr13	60550000	71150000	1.5460853886775556	1.5460853886775556
SEQ00165	chr13	71150000	81700000	1.6745378662360317	1.6745378662360317
SEQ00166	chr13	81700000	81750000	1.6745378662360317	1.6745378662360317
SEQ00167	chr13	81750000	94550000	1.3234090037430393	1.3234090037430393
SEQ00168	chr13	94550000	98100000	1.4290159309789405	1.4290159309789405
SEQ00169	chr13	98100000	114364328	2.6034379100599416	2.6034379100599416
SEQ00170	chr14	0	16100000	0.016449984103123285	0.016449984103123285
SEQ00171	chr14	16100000	18200000	0.2801633218706295	0.2801633218706295
SEQ00172	chr14	18200000	26400000	2.4564485119575683	2.4564485119575683
SEQ00173	chr14	26400000	27050000	2.688827121645972	2.688827121645972
SEQ00174	chr14	27050000	29800000	3.3082769185123335	3.3082769185123335
SEQ00175	chr14	29800000	39750000	2.796918082350028	2.796918082350028
SEQ00176	chr14	39750000	43550000	2.678447466204046	2.678447466204046
SEQ00177	chr14	43550000	49450000	2.678447466204046	2.678447466204046
SEQ00178	chr14	49450000	53100000	2.9582766998913796	2.9582766998913796
SEQ00179	chr14	53100000	63250000	2.8063209211408573	2.8063209211408573
SEQ00180	chr14	63250000	63550000	5.106836958048261	5.106836958048261
SEQ00181	chr14	63550000	65000000	5.106836958048261	5.106836958048261
SEQ00182	chr14	65000000	66800000	2.828942787530299	2.828942787530299
SEQ00183	chr14	66800000	71000000	2.828942787530299	2.828942787530299
SEQ00184	chr14	71000000	73500000	4.923075961256919	4.923075961256919
SEQ00185	chr14	73500000	73700000	4.431668597716225	4.431668597716225
SEQ00186	chr14	73700000	77850000	4.431668597716225	4.431668597716225
SEQ00187	chr14	77850000	78150000	3.954921337220249	3.954921337220249
SEQ00188	chr14	78150000	79800000	3.542900625498307	3.542900625498307
SEQ00189	chr14	79800000	80050000	4.175387227352498	4.175387227352498
SEQ00190	chr14	80050000	81600000	4.67763729777529	4.67763729777529
SEQ00191	chr14	81600000	87550000	4.3275785313186566	4.3275785313186566
SEQ00192	chr14	87550000	88350000	4.007326335444279	4.007326335444279
SEQ00193	chr14	88350000	88800000	4.572553341656144	4.572553341656144
SEQ00194	chr14	88800000	97050000	6.573173200542052	6.573173200542052
SEQ00195	chr14	97050000	107043718	1.9215996588123847	1.9215996588123847
SEQ00196	chr15	0	17000000	0.0020000059398117102	0.0020000059398117102
SEQ00197	chr15	17000000	19750000	0.5985235836604016	0.5985235836604016
SEQ00198	chr15	19750000	20300000	2.4505863786785214	2.4505863786785214
SEQ00199	chr15	20300000	20400000	2.4505863786785214	2.4505863786785214
SEQ00200	chr15	20400000	20700000	2.4505863786785214	2.4505863786785214
SEQ00201	chr15	20700000	22250000	0.9440008082955151	0.9440008082955151
SEQ00202	chr15	22250000	22550000	0.9440008082955151	0.9440008082955151
SEQ00203	chr15	22550000	23250000	2.288244162169902	2.288244162169902
SEQ00204	chr15	23250000	28450000	1.6649167029834946	1.6649167029834946
SEQ00205	chr15	28450000	75750000	2.0568706924146647	2.0568706924146647
SEQ00206	chr15	75750000	81000000	2.0568706924146647	2.0568706924146647
SEQ00207	chr15	81000000	100050000	2.6550775497229977	2.6550775497229977
SEQ00208	chr15	100050000	101550000	6.793617534531065	6.793617534531065
SEQ00209	chr15	101550000	101600000	6.793617534531065	6.793617534531065
SEQ00210	chr15	101600000	101850000	6.793617534531065	6.793617534531065
SEQ00211	chr15	101850000	101991189	1.4625429576524833	1.4625429576524833
SEQ00212	chr16	0	5300000	1.944600773031456	1.944600773031456
SEQ00213	chr16	5300000	7800000	1.399125134922545	1.399125134922545
SEQ00214	chr16	7800000	8600000	1.535695303409036	1.535695303409036
SEQ00215	chr16	8600000	9350000	2.009321862265097	2.009321862265097
SEQ00216	chr16	9350000	10250000	1.6721867769401357	1.6721867769401357
SEQ00217	chr16	10250000	11700000	1.9786895829877156	1.9786895829877156
SEQ00218	chr16	11700000	12100000	2.2622698055112007	2.2622698055112007
SEQ00219	chr16	12100000	12500000	1.9249568412036209	1.9249568412036209
SEQ00220	chr16	12500000	12850000	1.7465597520192073	1.7465597520192073
SEQ00221	chr16	12850000	13550000	1.4923852433264782	1.4923852433264782
SEQ00222	chr16	13550000	13850000	1.6406846837118987	1.6406846837118987
SEQ00223	chr16	13850000	14800000	2.053901791487244	2.053901791487244
SEQ00224	chr16	14800000	15350000	2.856186131975386	2.856186131975386
SEQ00225	chr16	15350000	15400000	2.856186131975386	2.856186131975386
SEQ00226	chr16	15400000	18150000	1.7793286407788416	1.7793286407788416
SEQ00227	chr16	18150000	18550000	1.7793286407788416	1.7793286407788416
SEQ00228	chr16	18550000	21750000	2.4869094861292305	2.4869094861292305
SEQ00229	chr16	21750000	22550000	2.4869094861292305	2.4869094861292305
SEQ00230	chr16	22550000	32150000	2.4869094861292305	2.4869094861292305
SEQ00231	chr16	32150000	33600000	1.9747335443024894	1.9747335443024894
SEQ00232	chr16	33600000	34550000	1.9747335443024894	1.9747335443024894
SEQ00233	chr16	34550000	34750000	1.9747335443024894	1.9747335443024894
SEQ00234	chr16	34750000	36050000	1.9747335443024894	1.9747335443024894
SEQ00235	chr16	36050000	38300000	1.9747335443024894	1.9747335443024894
SEQ00236	chr16	38300000	46350000	0.0020000059398117102	0.0020000059398117102
SEQ00237	chr16	46350000	87200000	2.5436761420067455	2.5436761420067455
SEQ00238	chr16	87200000	89150000	1.2571344903997683	1.2571344903997683
SEQ00239	chr16	89150000	90338345	1.2571344903997683	1.2571344903997683
SEQ00240	chr17	0	22750000	2.1494908961303216	2.1494908961303216
SEQ00241	chr17	22750000	26600000	1.261340687917594	1.261340687917594
SEQ00242	chr17	26600000	26900000	2.117825027073139	2.117825027073139
SEQ00243	chr17	26900000	59900000	2.117825027073139	2.117825027073139
SEQ00244	chr17	59900000	78100000	2.117825027073139	2.117825027073139
SEQ00245	chr17	78100000	78150000	2.117825027073139	2.117825027073139
SEQ00246	chr17	78150000	78750000	3.158277635224842	3.158277635224842
SEQ00247	chr17	78750000	79700000	2.743044448661025	2.743044448661025
SEQ00248	chr17	79700000	81250000	3.101338500976037	3.101338500976037
SEQ00249	chr17	81250000	82950000	3.8307131540705894	3.8307131540705894
SEQ00250	chr17	82950000	83257441	3.2194449918951995	3.2194449918951995
SEQ00251	chr18	0	15400000	1.9830093775307454	1.9830093775307454
SEQ00252	chr18	15400000	22950000	1.9830093775307454	1.9830093775307454
SEQ00253	chr18	22950000	24550000	1.9830093775307454	1.9830093775307454
SEQ00254	chr18	24550000	25600000	0.5829645253090286	0.5829645253090286
SEQ00255	chr18	25600000	26000000	0.5829645253090286	0.5829645253090286
SEQ00256	chr18	26000000	26400000	1.5772955343378208	1.5772955343378208
SEQ00257	chr18	26400000	27500000	1.4175886912335902	1.4175886912335902
SEQ00258	chr18	27500000	28250000	2.1655943069148993	2.1655943069148993
SEQ00259	chr18	28250000	28300000	2.1655943069148993	2.1655943069148993
SEQ00260	chr18	28300000	28350000	2.1655943069148993	2.1655943069148993
SEQ00261	chr18	28350000	29350000	1.4637762064653126	1.4637762064653126
SEQ00262	chr18	29350000	29450000	1.4637762064653126	1.4637762064653126
SEQ00263	chr18	29450000	29600000	2.47933806409337	2.47933806409337
SEQ00264	chr18	29600000	31050000	2.47933806409337	2.47933806409337
SEQ00265	chr18	31050000	31450000	2.47933806409337	2.47933806409337
SEQ00266	chr18	31450000	37150000	1.4547588270840053	1.4547588270840053
SEQ00267	chr18	37150000	37250000	1.4547588270840053	1.4547588270840053
SEQ00268	chr18	37250000	37300000	1.4547588270840053	1.4547588270840053
SEQ00269	chr18	37300000	37800000	2.289464190498857	2.289464190498857
SEQ00270	chr18	37800000	39450000	2.0978037212223186	2.0978037212223186
SEQ00271	chr18	39450000	39650000	2.0978037212223186	2.0978037212223186
SEQ00272	chr18	39650000	39700000	2.0978037212223186	2.0978037212223186
SEQ00273	chr18	39700000	41500000	1.4376355604500226	1.4376355604500226
SEQ00274	chr18	41500000	41550000	1.4376355604500226	1.4376355604500226
SEQ00275	chr18	41550000	42000000	2.10345798260873	2.10345798260873
SEQ00276	chr18	42000000	42050000	2.10345798260873	2.10345798260873
SEQ00277	chr18	42050000	46600000	1.472462609587849	1.472462609587849
SEQ00278	chr18	46600000	47050000	1.1405731689501974	1.1405731689501974
SEQ00279	chr18	47050000	48050000	1.1405731689501974	1.1405731689501974
SEQ00280	chr18	48050000	49750000	0.7614810290059989	0.7614810290059989
SEQ00281	chr18	49750000	49850000	0.7614810290059989	0.7614810290059989
SEQ00282	chr18	49850000	50550000	0.7614810290059989	0.7614810290059989
SEQ00283	chr18	50550000	52550000	0.037561279018320175	0.037561279018320175
SEQ00284	chr18	52550000	52600000	0.037561279018320175	0.037561279018320175
SEQ00285	chr18	52600000	64500000	0.7412643325773002	0.7412643325773002
SEQ00286	chr18	64500000	64700000	2.048059174959969	2.048059174959969
SEQ00287	chr18	64700000	65000000	2.048059174959969	2.048059174959969
SEQ00288	chr18	65000000	65750000	0.7380190698399283	0.7380190698399283
SEQ00289	chr18	65750000	65800000	0.7380190698399283	0.7380190698399283
SEQ00290	chr18	65800000	69850000	0.04487139976912208	0.04487139976912208
SEQ00291	chr18	69850000	70150000	0.8523276263810552	0.8523276263810552
SEQ00292	chr18	70150000	70200000	0.8523276263810552	0.8523276263810552
SEQ00293	chr18	70200000	71250000	1.409747710553653	1.409747710553653
SEQ00294	chr18	71250000	71950000	1.918000903557147	1.918000903557147
SEQ00295	chr18	71950000	72000000	1.918000903557147	1.918000903557147
SEQ00296	chr18	72000000	77550000	1.3647200157556476	1.3647200157556476
SEQ00297	chr18	77550000	79000000	1.0866316698185667	1.0866316698185667
SEQ00298	chr18	79000000	79850000	1.2795681610091076	1.2795681610091076
SEQ00299	chr18	79850000	80373285	0.6199097069793694	0.6199097069793694
SEQ00300	chr19	0	5300000	1.29355823095681	1.29355823095681
SEQ00301	chr19	5300000	10300000	1.29355823095681	1.29355823095681
SEQ00302	chr19	10300000	22400000	1.29355823095681	1.29355823095681
SEQ00303	chr19	22400000	24950000	1.29355823095681	1.29355823095681
SEQ00304	chr19	24950000	27200000	0.0020000059398117102	0.0020000059398117102
SEQ00305	chr19	27200000	27400000	1.6931901487924512	1.6931901487924512
SEQ00306	chr19	27400000	27900000	1.6931901487924512	1.6931901487924512
SEQ00307	chr19	27900000	28450000	1.6931901487924512	1.6931901487924512
SEQ00308	chr19	28450000	29050000	3.081239873331971	3.081239873331971
SEQ00309	chr19	29050000	29150000	3.081239873331971	3.081239873331971
SEQ00310	chr19	29150000	29250000	3.081239873331971	3.081239873331971
SEQ00311	chr19	29250000	30500000	1.021761867509989	1.021761867509989
SEQ00312	chr19	30500000	30550000	1.021761867509989	1.021761867509989
SEQ00313	chr19	30550000	31250000	1.804876346093913	1.804876346093913
SEQ00314	chr19	31250000	32300000	1.2191469231014442	1.2191469231014442
SEQ00315	chr19	32300000	33100000	1.67831439729055	1.67831439729055
SEQ00316	chr19	33100000	36450000	1.67831439729055	1.67831439729055
SEQ00317	chr19	36450000	36500000	1.67831439729055	1.67831439729055
SEQ00318	chr19	36500000	38150000	1.175679644145555	1.175679644145555
SEQ00319	chr19	38150000	38200000	1.175679644145555	1.175679644145555
SEQ00320	chr19	38200000	39350000	1.6778712313127013	1.6778712313127013
SEQ00321	chr19	39350000	42200000	1.6778712313127013	1.6778712313127013
SEQ00322	chr19	42200000	42250000	1.4383980797700655	1.4383980797700655
SEQ00323	chr19	42250000	43350000	1.4383980797700655	1.4383980797700655
SEQ00324	chr19	43350000	48900000	1.264235296926463	1.264235296926463
SEQ00325	chr19	48900000	50050000	1.4840081344740894	1.4840081344740894
SEQ00326	chr19	50050000	56350000	1.7449769747875692	1.7449769747875692
SEQ00327	chr19	56350000	57150000	1.4151441333809494	1.4151441333809494
SEQ00328	chr19	57150000	57750000	1.88331040128588	1.88331040128588
SEQ00329	chr19	57750000	57950000	1.88331040128588	1.88331040128588
SEQ00330	chr19	57950000	58617616	1.3393379163054513	1.3393379163054513
SEQ00331	chr2	0	8700000	1.200863356993367	1.200863356993367
SEQ00332	chr2	8700000	10000000	1.5796336433032945	1.5796336433032945
SEQ00333	chr2	10000000	10350000	1.327578343180801	1.327578343180801
SEQ00334	chr2	10350000	11900000	2.170663358248555	2.170663358248555
SEQ00335	chr2	11900000	11950000	2.170663358248555	2.170663358248555
SEQ00336	chr2	11950000	20850000	1.4591639581567903	1.4591639581567903
SEQ00337	chr2	20850000	23700000	1.2250256863601476	1.2250256863601476
SEQ00338	chr2	23700000	30650000	1.4934593811375378	1.4934593811375378
SEQ00339	chr2	30650000	31800000	1.4934593811375378	1.4934593811375378
SEQ00340	chr2	31800000	48750000	1.4934593811375378	1.4934593811375378
SEQ00341	chr2	48750000	50650000	1.3367104578360833	1.3367104578360833
SEQ00342	chr2	50650000	50700000	1.3367104578360833	1.3367104578360833
SEQ00343	chr2	50700000	53550000	1.9910928646756634	1.9910928646756634
SEQ00344	chr2	53550000	76850000	2.1496354226036725	2.1496354226036725
SEQ00345	chr2	76850000	78900000	1.899906604000691	1.899906604000691
SEQ00346	chr2	78900000	79900000	1.668203164321716	1.668203164321716
SEQ00347	chr2	79900000	81300000	1.9014270635667954	1.9014270635667954
SEQ00348	chr2	81300000	85050000	2.172335600638013	2.172335600638013
SEQ00349	chr2	85050000	85650000	2.172335600638013	2.172335600638013
SEQ00350	chr2	85650000	86500000	2.172335600638013	2.172335600638013
SEQ00351	chr2	86500000	88100000	2.172335600638013	2.172335600638013
SEQ00352	chr2	88100000	88250000	2.172335600638013	2.172335600638013
SEQ00353	chr2	88250000	90450000	1.902387050709158	1.902387050709158
SEQ00354	chr2	90450000	91400000	0.0020000059398117102	0.0020000059398117102
SEQ00355	chr2	91400000	94850000	2.611775694268612	2.611775694268612
SEQ00356	chr2	94850000	169850000	1.58659180239486	1.58659180239486
SEQ00357	chr2	169850000	170950000	2.0063026327966136	2.0063026327966136
SEQ00358	chr2	170950000	176050000	2.13860345601691	2.13860345601691
SEQ00359	chr2	176050000	176200000	1.638972899955628	1.638972899955628
SEQ00360	chr2	176200000	182150000	2.096428751377248	2.096428751377248
SEQ00361	chr2	182150000	183050000	1.7463200651196524	1.7463200651196524
SEQ00362	chr2	183050000	189000000	1.6235029431492192	1.6235029431492192
SEQ00363	chr2	189000000	192450000	1.7247688167626036	1.7247688167626036
SEQ00364	chr2	192450000	195700000	1.5571856986474222	1.5571856986474222
SEQ00365	chr2	195700000	198900000	1.6859386047967075	1.6859386047967075
SEQ00366	chr2	198900000	203000000	1.2462607939862513	1.2462607939862513
SEQ00367	chr2	203000000	216500000	1.869444317092378	1.869444317092378
SEQ00368	chr2	216500000	221950000	1.7463176442076715	1.7463176442076715
SEQ00369	chr2	221950000	234950000	1.8343831398257948	1.8343831398257948
SEQ00370	chr2	234950000	242193529	1.6609964616594648	1.6609964616594648
SEQ00371	chr20	0	14250000	1.441280362001217	1.441280362001217
SEQ00372	chr20	14250000	14350000	1.441280362001217	1.441280362001217
SEQ00373	chr20	14350000	14750000	0.6629766662182008	0.6629766662182008
SEQ00374	chr20	14750000	15200000	0.6629766662182008	0.6629766662182008
SEQ00375	chr20	15200000	15300000	0.6629766662182008	0.6629766662182008
SEQ00376	chr20	15300000	24150000	1.3770681890758418	1.3770681890758418
SEQ00377	chr20	24150000	24650000	0.0508140054393454	0.0508140054393454
SEQ00378	chr20	24650000	28500000	2.117863194492669	2.117863194492669
SEQ00379	chr20	28500000	28800000	2.5459110240650427	2.5459110240650427
SEQ00380	chr20	28800000	28850000	2.5459110240650427	2.5459110240650427
SEQ00381	chr20	28850000	29250000	2.5459110240650427	2.5459110240650427
SEQ00382	chr20	29250000	30450000	2.5459110240650427	2.5459110240650427
SEQ00383	chr20	30450000	30600000	2.5459110240650427	2.5459110240650427
SEQ00384	chr20	30600000	31000000	2.5459110240650427	2.5459110240650427
