chrom1	chrom2	valid_pair_count	nonzero_pixel_count	observed_count	expected_count	observed_expected_ratio
chr2	chr15	7503210	385187	405702.0	418376.675728672	0.9697051091421457
chr2	chr16	7321950	400223	427791.0	411741.8581075349	1.03897865027916
chr2	chr17	7465050	433242	461918.0	400713.6202851282	1.1527384561356357
chr2	chr18	6968970	209096	223653.0	256791.14303120482	0.8709529361486664
chr2	chr19	5289930	232187	247042.0	186730.77548712157	1.322984919628516
chr2	chr20	5776470	259940	294765.0	265900.8439502396	1.1085523295862951
chr2	chr21	3348540	101398	107280.0	109680.57346738462	0.9781130478124418
chr2	chr22	3310380	249822	278152.0	220818.58713384322	1.2596403392048048
chr3	chr4	13487796	521053	543332.0	665287.754478662	0.816687209921322
chr3	chr5	12661866	788560	835742.0	1020499.2244936166	0.8189540765351436
chr3	chr6	12101670	708264	750747.0	858918.2657507205	0.8740610485723277
chr3	chr7	11311650	659687	714381.0	819820.6549109239	0.8713869255680314
chr3	chr8	9943479	832607	901075.0	902029.2942491772	0.9989420584727555
chr3	chr9	8040249	534475	572078.0	576417.2233997325	0.9924720788630507
chr3	chr10	9534105	507894	535525.0	599353.4482384104	0.8935044948418804
chr3	chr11	9483831	643385	732897.0	726786.8074997612	1.0084071318262622
chr3	chr12	9562833	634292	678804.0	749351.3250348237	0.9058554743577116
chr3	chr13	7027587	372995	392965.0	425204.2728408987	0.9241793300300115
chr3	chr14	6273477	618454	675441.0	720053.7748066667	0.9380424402071288
chr3	chr15	5648643	390552	415305.0	434456.0683497759	0.9559194364058057
chr3	chr16	5512185	421034	459799.0	427566.2560224595	1.0753865477537763
chr3	chr17	5619915	439910	479765.0	416114.1719960154	1.1529648165998876
chr3	chr18	5246451	209609	219533.0	266660.3490600289	0.8232682540686996
chr3	chr19	3982419	240104	256993.0	193907.3644981396	1.3253390383863717
chr3	chr20	4348701	271855	291362.0	276120.16141269676	1.055200020561057
chr3	chr21	2520882	102908	108615.0	113895.90645796855	0.9536339222172363
chr3	chr22	2492154	240793	267483.0	229305.2666419169	1.1664930505835325
chr4	chr5	13243656	501357	549997.0	662363.2849368738	0.8303555050645918
chr4	chr6	12657720	451113	467300.0	557487.8552967373	0.8382245380955744
chr4	chr7	11831400	423201	441171.0	532111.2343964309	0.8290954437382184
chr4	chr8	10400364	438199	458039.0	585469.4174262082	0.7823448780870449
chr4	chr9	8409684	312375	329352.0	374128.26626565144	0.880318408676831
chr4	chr10	9972180	324856	359588.0	389015.20871848473	0.9243546060437445
chr4	chr11	9919596	405106	439368.0	471726.8624120708	0.931403392533953
chr4	chr12	10002228	409182	426796.0	486372.5452296702	0.8775084124011615
chr4	chr13	7350492	221718	229484.0	275982.27629016107	0.831517165104929
chr4	chr14	6561732	379042	401449.0	467356.733023292	0.8589776751541798
chr4	chr15	5908188	251025	262097.0	281987.2290796793	0.9294640784102353
chr4	chr16	5765460	256809	271638.0	277515.3405998185	0.9788215650092882
chr4	chr17	5878140	272931	293721.0	270082.2727315969	1.0875241719099975
chr4	chr18	5487516	138565	148779.0	173078.05878388396	0.8596063593813167
chr4	chr19	4165404	145541	153327.0	125857.14505189502	1.2182621807985416
chr4	chr20	4548516	165979	186411.0	179218.02659023742	1.0401353231402806
chr4	chr21	2636712	67522	75300.0	73925.06033485461	1.0185991010209177
chr4	chr22	2606664	156286	169626.0	148832.44006543182	1.1397112076199694
chr5	chr6	11882620	685957	722648.0	855142.6358970762	0.8450613613036795
chr5	chr7	11106900	638037	678653.0	816216.8901957674	0.8314615981999919
chr5	chr8	9763494	659237	699943.0	898064.1570899946	0.7793908647551769
chr5	chr9	7894714	475386	508228.0	573883.4106219583	0.8855945137866891
chr5	chr10	9361530	494618	533980.0	596718.8124851753	0.8948603409638036
chr5	chr11	9312166	617060	699088.0	723592.000639725	0.9661356114798656
chr5	chr12	9389738	657645	702229.0	746057.3291489679	0.9412534031413335
chr5	chr13	6900382	354786	372566.0	423335.1614126628	0.8800733649356058
chr5	chr14	6159922	691901	764190.0	716888.5649877636	1.0659815727609545
chr5	chr15	5546398	378587	403416.0	432546.2879117914	0.9326539408015174
chr5	chr16	5412410	388983	425085.0	425686.7617969661	0.9985863741817438
chr5	chr17	5518190	427044	462101.0	414285.01880070014	1.1154180794123831
chr5	chr18	5151486	201918	212165.0	265488.1644473123	0.7991505024025484
chr5	chr19	3910334	219688	237448.0	193054.98719585838	1.2299500958196121
chr5	chr20	4269986	254871	277794.0	274906.3933905304	1.0105039630903292
chr5	chr21	2475252	99901	107418.0	113395.24323798834	0.9472884129236039
chr5	chr22	2447044	232331	258190.0	228297.28736745781	1.1309376601765229
chr6	chr7	10615500	576042	602678.0	686981.0176987352	0.877284793135718
chr6	chr8	9331530	593224	625066.0	755868.9804231653	0.8269501940006367
chr6	chr9	7545430	424527	447697.0	483017.46043865255	0.9268753961677156
chr6	chr10	8947350	450359	470577.0	502237.2141585122	0.9369616323402912
chr6	chr11	8900170	548735	606961.0	609021.9094570752	0.9966160339635196
chr6	chr12	8974310	566517	597427.0	627930.1854650789	0.9514226482957072
chr6	chr13	6595090	306499	318787.0	356306.2998428963	0.8946993082652779
chr6	chr14	5887390	514321	552282.0	603379.863695001	0.9153139394110935
chr6	chr15	5301010	342461	361685.0	364058.9806959051	0.9934791316193679
chr6	chr16	5172950	356557	382418.0	358285.5590871419	1.0673553267799685
chr6	chr17	5274050	388324	413794.0	348689.1134595152	1.1867132756011434
chr6	chr18	4923570	183430	191329.0	223452.04024783062	0.8562419022345781
chr6	chr19	3737330	202301	214248.0	162487.58530813703	1.3185499654863226
chr6	chr20	4081070	231753	244575.0	231379.03193600776	1.0570318232969436
chr6	chr21	2365740	91821	96147.0	95440.78361713962	1.0073995241457088
chr6	chr22	2338780	215041	235974.0	192149.78849058136	1.2280731706949903
chr7	chr8	8722350	553945	584872.0	721462.1312259035	0.8106759519119728
chr7	chr9	7052850	399068	423870.0	461030.7016862917	0.9193964706680691
chr7	chr10	8363250	424536	455903.0	479375.58001772425	0.9510350944099898
chr7	chr11	8319150	519658	580384.0	581299.479327998	0.9984251158644485
chr7	chr12	8388450	532481	599042.0	599347.058286596	0.9994910156271258
chr7	chr13	6164550	297611	312622.0	340087.3816914124	0.9192402212783835
chr7	chr14	5503050	479308	516525.0	575914.2571990236	0.8968783000999748
chr7	chr15	4954950	321794	341185.0	347487.16365864524	0.9818636072990709
chr7	chr16	4835250	336601	382583.0	341976.5458582004	1.118740465197391
chr7	chr17	4929750	367283	395892.0	332816.9265405443	1.1895188268069405
chr7	chr18	4602150	174593	181991.0	213280.59407031536	0.8532937597688814
chr7	chr19	3493350	208864	223406.0	155091.21637526405	1.440481319454218
chr7	chr20	3814650	218817	232685.0	220846.75231424876	1.0536039020800554
chr7	chr21	2211300	86287	92618.0	91096.35788432941	1.0167036548003676
chr7	chr22	2186100	203154	225293.0	183403.20810811885	1.2284027216535194
chr8	chr9	6199791	407934	435693.0	507261.1869171234	0.8589125508456924
chr8	chr10	7351695	429133	451862.0	527445.6230560092	0.8566987386906745
chr8	chr11	7312929	523884	592707.0	639590.0810069494	0.9266982362622975
chr8	chr12	7373847	554535	593891.0	659447.405671085	0.9005888792535749
chr8	chr13	5418933	293687	307788.0	374190.1098155263	0.8225444551480472
chr8	chr14	4837443	490042	535132.0	633664.8483511541	0.8445032123723695
chr8	chr15	4355637	326651	348569.0	382331.9150573399	0.9116921352163961
chr8	chr16	4250415	482967	545840.0	376268.71250732325	1.4506653937892229
chr8	chr17	4333485	359777	387436.0	366190.5998137681	1.0580173281264909
chr8	chr18	4045509	181592	197486.0	234667.5978384505	0.8415563197436102
chr8	chr19	3070821	193729	208431.0	170643.20057467459	1.221443334970673
chr8	chr20	3353259	327099	376158.0	242992.46296604894	1.5480233230631397
chr8	chr21	1943838	88258	100680.0	100231.16997460906	1.004477948581311
chr8	chr22	1921686	199950	222140.0	201794.21606641085	1.100824415734955
chr9	chr10	5944545	314682	332989.0	337049.74270192784	0.9879520967161248
chr9	chr11	5913199	388053	446554.0	408712.6005313458	1.0925868187559145
chr9	chr12	5962457	392155	419035.0	421401.88237620593	0.9943833132332975
chr9	chr13	4381723	215239	230367.0	239115.98603129666	0.9634111203667012
chr9	chr14	3911533	437185	569860.0	404926.24217555224	1.4073180264591056
chr9	chr15	3521947	266378	305729.0	244318.78465531912	1.251352819355734
chr9	chr16	3436865	250256	272196.0	240444.26040087146	1.1320544709455391
chr9	chr17	3504035	274735	298617.0	234004.1173002374	1.2761185719517125
chr9	chr18	3271179	128295	137116.0	149957.9293381115	0.9143631190775068
chr9	chr19	2483051	147708	158884.0	109044.88412338198	1.4570513901434028
chr9	chr20	2711429	166170	184226.0	155277.7073903551	1.1864291603486348
chr9	chr21	1571778	66143	71540.0	64049.99600701548	1.1169399603422947
chr9	chr22	1553866	156512	177958.0	128951.09112830494	1.3800426071845622
chr10	chr11	7011855	407625	452156.0	424975.68865507946	1.0639573323145568
chr10	chr12	7070265	421943	451218.0	438169.8898701805	1.0297786553377397
chr10	chr13	5195835	225048	234142.0	248630.65317775815	0.9417261991127075
chr10	chr14	4638285	372924	401070.0	421038.6672672965	0.9525728423070953
chr10	chr15	4176315	252255	266414.0	254040.47642593586	1.0487068980036005
chr10	chr16	4075425	294331	318382.0	250011.78092913915	1.273467989455421
chr10	chr17	4155075	299453	323694.0	243315.37801503495	1.3303474800511716
chr10	chr18	3878955	138464	144786.0	155924.90715212506	0.9285623614881643
chr10	chr19	2944395	155476	165019.0	113383.8904511423	1.455400757051175
chr10	chr20	3215205	177322	193064.0	161456.36455839363	1.1957658066193786
chr10	chr21	1863810	69923	75627.0	66598.6101873287	1.1355642375610577
chr10	chr22	1842570	165379	183850.0	134082.18558427432	1.371173949759681
chr11	chr12	7032983	529118	602376.0	531332.7158411463	1.1337077165413878
chr11	chr13	5168437	275387	303192.0	301494.01692899567	1.0056318964080944
chr11	chr14	4613827	451539	530798.0	510559.0861561709	1.039640688791186
chr11	chr15	4154293	318887	383212.0	308054.06622751424	1.2439764379444278
chr11	chr16	4053935	335787	395551.0	303168.7973646898	1.3047220012031158
chr11	chr17	4133165	355989	417946.0	295048.6183451508	1.4165326458539205
chr11	chr18	3858501	170344	187526.0	189077.3562942974	0.9917951238334286
chr11	chr19	2928869	208773	243961.0	137491.35173092224	1.7743734200638628
chr11	chr20	3198251	214003	243721.0	195784.90136797435	1.244840630186955
chr11	chr21	1853982	85389	96148.0	80758.67657762434	1.1905593810416595
chr11	chr22	1832854	195246	242045.0	162590.4779388572	1.4886788148259333
chr12	chr13	5211491	281917	296894.0	310854.48819995084	0.9550899577458536
chr12	chr14	4652261	470464	512765.0	526410.3912890865	0.9740784157856927
chr12	chr15	4188899	314935	336504.0	317618.2070558964	1.0594606748749134
chr12	chr16	4087705	347937	384334.0	312581.2654689923	1.229549056381709
chr12	chr17	4167595	380488	413880.0	304208.9796142941	1.3605121075806428
chr12	chr18	3890643	199774	215051.0	194947.632526007	1.1031218856751754
chr12	chr19	2953267	199218	214714.0	141760.0395841382	1.5146299382384256
chr12	chr20	3224893	222657	240467.0	201863.42645185126	1.1912360957439534
chr12	chr21	1869426	89555	94876.0	83265.9876005268	1.1394328312680668
chr12	chr22	1848122	205695	230959.0	167638.4172418649	1.3777211918362222
chr13	chr14	3418879	258159	276652.0	298700.9432906082	0.9261838846315372
chr13	chr15	3078361	183338	201269.0	180226.03585301767	1.1167587360360287
chr13	chr16	3003995	178176	196005.0	177367.92509341886	1.1050757903198398
chr13	chr17	3062705	201575	214765.0	172617.24060147157	1.2441688863271583
chr13	chr18	2859177	94362	114068.0	110619.09622488938	1.0311781952014776
chr13	chr19	2170313	146104	167963.0	80438.87097479851	2.088082514890379
chr13	chr20	2369927	116806	126086.0	114543.32379227171	1.1007712699926653
chr13	chr21	1373814	50278	57225.0	47247.602729488666	1.2111725610214745
chr13	chr22	1358158	109768	122465.0	95123.03364541831	1.2874379138968792
chr14	chr15	2748031	286661	314993.0	305200.2195729693	1.032086413439455
chr14	chr16	2681645	298869	333102.0	300360.208376669	1.1090084195915557
chr14	chr17	2734055	315919	350539.0	292315.2555861261	1.1991813403550509
chr14	chr18	2552367	154020	164026.0	187325.7229290291	0.8756192018655307
chr14	chr19	1937423	169189	185099.0	136217.6167694874	1.3588477348949037
chr14	chr20	2115617	192485	209998.0	193971.1285695113	1.0826250357395086
chr14	chr21	1226394	76322	82683.0	80010.51934081543	1.0334016162024993
chr14	chr22	1212418	180257	211776.0	161084.2219195519	1.3146911440262872
chr15	chr16	2414555	200708	219224.0	181227.1802270383	1.2096640234944886
chr15	chr17	2461745	220225	238263.0	176373.12809686613	1.3509030688004993
chr15	chr18	2298153	103455	109225.0	113025.99879623874	0.9663705798955945
chr15	chr19	1744457	124948	135530.0	82189.09794277223	1.6490021595609763
chr15	chr20	1904903	158261	172616.0	117035.61156151936	1.4749015081556183
chr15	chr21	1104246	52607	56316.0	48275.63839765671	1.1665511191403233
chr15	chr22	1091662	119913	135459.0	97192.76556413014	1.3937148430108295
chr16	chr17	2402275	253398	282041.0	173576.11859304027	1.6248836665213273
chr16	chr18	2242635	115504	123888.0	111233.57839623955	1.113764402675984
chr16	chr19	1702315	138556	152360.0	80885.70387964402	1.8836455973321073
chr16	chr20	1858885	155689	173220.0	115179.6048026901	1.5039120884008652
chr16	chr21	1077570	58051	63262.0	47510.06021203113	1.3315495648220617
chr16	chr22	1065290	141640	165687.0	95651.43615687094	1.7321956329883939
chr17	chr18	2286465	126924	135060.0	108254.25935875013	1.2476183459203831
chr17	chr19	1735585	161281	178244.0	78719.2329191314	2.264300519583452
chr17	chr20	1895215	167086	185321.0	112094.5940148796	1.6532554636435028
chr17	chr21	1098630	65845	72762.0	46237.53415557587	1.5736565828786848
chr17	chr22	1086110	157343	183175.0	93089.47466274172	1.9677305158680227
chr18	chr19	1620249	70422	75235.0	50446.00626617039	1.4913965558152293
chr18	chr20	1769271	83575	119166.0	71834.09164933766	1.6589059214629711
chr18	chr21	1025622	69671	83554.0	29630.61060491575	2.8198541405062474
chr18	chr22	1013934	104120	115241.0	59654.95404376452	1.9317926205333429
chr19	chr20	1342999	99407	110569.0	52235.585237703395	2.11673707678098
chr19	chr21	778518	40765	44900.0	21546.486499109873	2.08386643464376
chr19	chr22	769646	87786	100312.0	43379.28364175359	2.312440215205567
chr20	chr21	850122	47960	63938.0	30681.760568551228	2.0839090982782906
chr20	chr22	840434	91283	112915.0	61771.22169716806	1.8279547805216334
chr21	chr22	487188	45757	60124.0	25479.810138527537	2.3596722139262587
